,Description,Fixing_time,Severity,Priority
2567,"May be safe, but bug warren and dp:

Much of our non-static/global data needs to be partitioned by window,
not reachable by other windows except through statics/globals.
Therefore we're starting the hunt with statics and globals.
Please have a look at the file(s) below to see if we can improve reentrantcy
across
the code base by making modifications to:

xpcom/public/nsIServiceManager.h: static nsIServiceManager*
globalServiceManager;
xpcom/public/nsMacRepository.h:static MacLibrary libraries[] = {
xpcom/public/nsRepository.h: static nsHashtable *factories;
xpcom/public/nsRepository.h: static PRMonitor *monitor;
xpcom/public/nsRepository.h: static nsDllStore *dllStore;",18,normal,P2
2568,"I ignore constant or likely-to-be-initialized-once-at-startup data like atom
pointers, but these scare me. Who owns XUL? I guess hyatt?

Much of our non-static/global data needs to be partitioned by window,
not reachable by other windows except through statics/globals.
Therefore we're starting the hunt with statics and globals.
Please have a look at the file(s) below to see if we can improve reentrantcy
across
the code base by making modifications to:

layout/xul/content/src/nsXULAtoms.h: static PRInt32 nameSpaceID;
layout/xul/content/src/nsXULAtoms.h: static nsIAtom* button;
layout/xul/content/src/nsXULAtoms.h: static nsIAtom* checkbox;
layout/xul/content/src/nsXULAtoms.h: static nsIAtom* radio;
layout/xul/content/src/nsXULAtoms.h: static nsIAtom* text;
layout/xul/content/src/nsXULAtoms.h: static nsIAtom* toolbar;
layout/xul/content/src/nsXULAtoms.h: static nsIAtom* toolbox;
layout/xul/content/src/nsXULAtoms.h: static nsIAtom* tree; // The start of a
tree view
layout/xul/content/src/nsXULAtoms.h: static nsIAtom* treecaption; // The caption
of a tree view
layout/xul/content/src/nsXULAtoms.h: static nsIAtom* treehead; // The header of
the tree view
layout/xul/content/src/nsXULAtoms.h: static nsIAtom* treebody; // The body of
the tree view
layout/xul/content/src/nsXULAtoms.h: static nsIAtom* treeitem; // An item in the
tree view
layout/xul/content/src/nsXULAtoms.h: static nsIAtom* treecell; // A cell in the
tree view
layout/xul/content/src/nsXULAtoms.h: static nsIAtom* treechildren; // The
children of an item in the tree viw
layout/xul/content/src/nsXULAtoms.h: static nsIAtom* treeindentation; //
Specifies that the indentation for the level should occur here.
layout/xul/content/src/nsXULAtoms.h: static nsIAtom* treeallowevents; // Lets
events be handled on the cell contents.
layout/xul/content/src/nsXULAtoms.h: static nsIAtom* treecol; // A column in the
tree view
layout/xul/content/src/nsXULAtoms.h: static nsIAtom* treecolgroup; // A column
group in the tree view
layout/xul/content/src/nsXULAtoms.h: static nsIAtom* progressmeter;
layout/xul/content/src/nsXULAtoms.h: static nsIAtom* mode;
layout/xul/content/src/nsXULAtoms.h: static nsIAtom* widget;
layout/xul/content/src/nsXULAtoms.h: static nsIAtom* window;",45,normal,P2
2569,"These are for rjc and waterson (and nag them about those ^Ms in glue.h):

Much of our non-static/global data needs to be partitioned by window,
not reachable by other windows except through statics/globals.
Therefore we're starting the hunt with statics and globals.
Please have a look at the file(s) below to see if we can improve reentrantcy
across
the code base by making modifications to:

rdf/src/glue.h:extern char* gLocalStoreURL;
rdf/src/glue.h:extern char* gBookmarkURL;
rdf/src/rdf-int.h:extern char* gNavCntrUrl;
rdf/src/rdf-int.h:extern RDFT gLocalStore;
rdf/src/rdf-int.h:extern RDFT gRemoteStore;
rdf/src/rdf-int.h:extern RDFT gSessionDB;
rdf/src/rdf-int.h:extern size_t gCoreVocabSize;
rdf/src/rdf-int.h:extern RDF_Resource* gAllVocab;
rdf/src/rdf-int.h:extern RDF_WDVocab gWebData;
rdf/src/rdf-int.h:extern RDF_NCVocab gNavCenter;
rdf/src/rdf-int.h:extern RDF_CoreVocab gCoreVocab;",19,normal,P2
2570,"This PRMonitor use might be dangerous, a holdover from Java days, rpotts said.
Please
ask that such half-hearted, yet over-heavy thread-safety be removed. Michaelp
and I don't know who owns this (not dcone!). Try trudelle:

Much of our non-static/global data needs to be partitioned by window,
not reachable by other windows except through statics/globals.
Therefore we're starting the hunt with statics and globals.
Please have a look at the file(s) below to see if we can improve reentrantcy
across
the code base by making modifications to:

widget/src/windows/nsObject.h: static CList s_liveChain;
widget/src/windows/nsObject.h: static PRMonitor *s_liveChainMutex;
widget/src/windows/nsObject.h: static int32 s_nObjects;",57,normal,P2
2571,"the mRadioGroupHashtable should be per-document, not
global (static). More for trudelle:

Much of our non-static/global data needs to be partitioned by window,
not reachable by other windows except through statics/globals.
Therefore we're starting the hunt with statics and globals.
Please have a look at the file(s) below to see if we can improve reentrantcy
across
the code base by making modifications to:

widget/src/windows/nsRadioGroup.h: static nsHashtable * mRadioGroupHashtable;",12,normal,P2
2572,"should be per-document, not global (static). More for trudelle:

Much of our non-static/global data needs to be partitioned by window,
not reachable by other windows except through statics/globals.
Therefore we're starting the hunt with statics and globals.
Please have a look at the file(s) below to see if we can improve reentrantcy
across
the code base by making modifications to:

widget/src/windows/nsToolkit.h: static HINSTANCE mDllInstance;
widget/src/windows/nsToolkit.h: static MouseTrailer* theMouseTrailer;
widget/src/windows/nsToolkit.h: static nsWindow* mHoldMouse;
widget/src/windows/nsToolkit.h: static PRBool gIgnoreNextCycle;
widget/src/windows/nsTooltipWidget.h: static BOOL sTooltipWidgetIsRegistered;
widget/src/windows/nsWindow.h: static nsWindow* gCurrentWindow;
widget/src/windows/nsWindow.h: static BOOL sIsRegistered;",3373,normal,P4
2573,"Probably need to address these to both raman and sudu

Please have a look at the file(s) below to see if we can improve reentrantcy
across
the code base by making modifications to:

caps/include/nsCCapsManagerFactory.h: static nsIFactory *m_pNSIFactory;
caps/include/nsPrivilege.h: static PRBool theInited;
caps/include/nsPrivilegeManager.h: static PRBool theSecurityInited;
caps/include/nsPrivilegeManager.h: static char * SignedAppletDBName;
caps/include/nsPrivilegeManager.h: static PRBool theInited;
caps/include/nsTarget.h: static PRBool theInited;",201,normal,P2
2574,"Editor folk (kostello, jfrancis, akkana, ...):

Please have a look at the file(s) below to see if we can improve reentrantcy
across
the code base by making modifications to:

editor/base/editor.h: static PRInt32 gInstanceCount;",128,normal,P2
2575,"Both of sfraser and jfrancis, from the CVS log:

Much of our non-static/global data needs to be partitioned by window,
not reachable by other windows except through statics/globals.
Therefore we're starting the hunt with statics and globals.
Please have a look at the file(s) below to see if we can improve reentrantcy
across
the code base by making modifications to:

base/public/nsRepeater.h: static Repeater* sRepeaters;
base/public/nsRepeater.h: static Repeater* sIdlers;",9,normal,P2
2576,"Much of our non-static/global data needs to be partitioned by window,
not reachable by other windows except through statics/globals.
Therefore we're starting the hunt with statics and globals.
Please have a look at the file(s) below to see if we can improve reentrantcy
across
the code base by making modifications to:

These must be rickg:

htmlparser/src/nsElementTable.h:extern nsHTMLElement gHTMLElements[];
htmlparser/src/nsHTMLTokens.h: static PRInt32 mEntityTokenCount;
htmlparser/src/nsParserNode.h: static const nsAutoString mEmptyString;",44,normal,P2
2577,"The image in the above URL is pushed up above where it should be.  The top sticks out above the top
of the canvas (and is cut off).",38,normal,P2
2578,"text-align: justify now puts all the extra space between the second-to-last
word and the last word.

(using 99-02-19 build)",2,normal,P2
2579,"Sometimes when displaying my bug list, I get an alert asking ""Want to go to
heaven? and the page is redirected to some stupid newgroup instead of my beloved
bug list.",12,normal,P2
2580,"Since about a week now, Tinderbox Express (http://cvs-mirror.mozilla.org/
webtools/tindertest/showbuilds.cgi?tree=SeaMonkey&express=1) displays only one
column: the ""cat Linux 2.2.1 Clobber apprunner"" build.",12,normal,P2
2581,"If you load this page in viewer, then view-source, then scroll down, you get a
crash using 2/18 seamonkey builds on win95.",26,normal,P1
2582,"select across text nodes (in the test case below, from ""2"" to ""b"")
DEL
crash.

test case:
<P>1234<B>bold</b>abc<I>italic<br>br</I></P>

stack:
nsDebug::PreCondition() line 112 + 13 bytes
nsCOMPtr<nsIDOMNode>::operator->() line 561 + 34 bytes
nsRange::FillArrayWithAncestors() line 595 + 32 bytes
nsRange::CommonParent() line 679 + 21 bytes
nsRange::GetCommonParent() line 873 + 41 bytes
DeleteRangeTxn::Init() line 61 + 39 bytes
nsEditor::CreateTxnForDeleteSelection() line 1014
nsEditor::DeleteSelection() line 961 + 22 bytes
nsTextEditor::DeleteSelection() line 159 + 29 bytes
nsTextEditorKeyListener::KeyDown() line 146",7,critical,P1
2583,"It's a .txt file, so it looks like we're not getting the style info that says to
treat all the text as if it's pre-formatted

This simple example demonstrates the problem as well: simple.txt

First line.

Second line.",25,trivial,P5
2584,"New navigator.xul file is making the Linux toolbar render
vertically, reverting to the prior version of navigator.xul
fixes this.",3,normal,P2
2585,"Kipp wanted me to file a new bug rather than reopen the existing bug on tests
not building, so here it is.

c++ -o nsTestUConv.o   -Wall -g -Wp,-MMD,./.deps/nsTestUConv.pp -fPIC  -DDEBUG
-UNDEBUG -DDEBUG_akkana -DTRACING -DOSTYPE=\""Linux2.2\"" -DUNIX_SKIP_ASSERTS
-include ../../../config-defs.h  -I../../../dist/./include
-I../../../dist/include -I/builds/seamonk/mozilla/include -I/usr/include
-I/builds/seamonk/mozilla/intl/uconv/tests/../ucvlatin
-I/builds/seamonk/mozilla/intl/uconv/tests/../ucvja
-I/builds/seamonk/mozilla/intl/uconv/tests/../ucvja2 -I/usr/X11R6/include  -c
/builds/seamonk/mozilla/intl/uconv/tests/nsTestUConv.cpp
cpp: ./.deps/nsTestUConv.pp: No such file or directory
gmake[5]: *** [nsTestUConv.o] Error 1
gmake[5]: Leaving directory
`/builds/seamonk/mozilla/obj-i686-pc-linux-gnu/intl/uconv/tests'
gmake[4]: *** [install] Error 2
gmake[4]: Leaving directory
`/builds/seamonk/mozilla/obj-i686-pc-linux-gnu/intl/uconv'",90,normal,P2
2586,"The ldap_extended_operation() contains a bug that renders extended
operations non-functional.  I encountered this when porting the SDK to VMS, and
have learnt that this problem is now being encountered by our developers using
the latest binary distributions for NT, Win95 and Unix.
    Essentially, message ID's are misused; the valid response message will be
discarded (incorrectly) for appearing to have an incorrect ID.  The client will
then wait for the next response, which it will never receive - and remains
waiting.
    The flaw is in extendop.c, in the final lines of ldap_extended_operation().
The fix is illustrated below :

#if (0) /*@@ extendop bug !??!?  */
        rc = nsldapi_send_initial_request( ld, *msgidp, LDAP_REQ_EXTENDED, NULL,
                ber );
#else
        rc = nsldapi_send_initial_request( ld, msgid, LDAP_REQ_EXTENDED, NULL,
                ber );
#endif
        *msgidp = rc;
        return( rc < 0 ? LDAP_GET_LDERRNO( ld, NULL, NULL ) : LDAP_SUCCESS );",21,major,P1
2587,"Is *document.getElementById(elementID).className* supposed to be fully
implemented? Using the most recent DevPrev from netscape as well
as the 2/15 and 2/16 builds from the ftp site, I'm able to change the
className for a given element ID exactly *once* -- additional attempts
within the same document to assign a new class to the element do not
appear to have any effect whatsoever. Is this behaviour to be expected?",0,normal,P2
2588,"ImageLib component currently shows in Mozilla product.  Can you make it come up
with NG Layout product also please?

Definition:
The functions that enable images.  Decodding rather than encoding.

Assign To: pnunn

QA Contact: petersen",0,normal,P2
2589,"currently, clicking on ""show more checkin history"" (which adds showall=1 to the
URL) shows checkins in the guilty list for ~36 hours. I would like it to look
back at least 5 days to cover weekends. Preferably it would look back 7 days.",7,normal,P2
2590,"Using the 2/18 build on Win 95, Win NT, Win 98, Linux and Mac8.5.

Open the URL.

The TITLE attribute specifies text assigned to the element that can be used for
context-sensitive help within the document. In this case, the TITLE attribute is
used in association with the A element.

Expected result: The title text 'If you click on this link you will go to
Netscape's home page' should display (if used as context-sensitive help, text
should display when mouse is over link).

Actual result: title text does not display.",0,normal,P2
2591,"Step1. Run md5 program with an empty JSC file as an input file.
Step2. Dr. Watson for Windows dialog box appears.",85,normal,P2
2592,"After pulling the tree tonight, I noticed this page lays out wrong. I'm assuming
it's table related",29,critical,P2
2593,"(using viewer.exe from 22-02-99) If the cursor is placed in the text, and you
scroll down, when the cursor gets to the top, it can't scroll down any more.

Sorry if you already knew about this....",43,normal,P2
2594,"I think link border colors that are drawn around images should change with the
link color, unless they are explicitly specified differently.

This can be done easily in ua.css, since border-color, if not specified,
""inherits"" from color.  Thus you could change the four a:link img, a:visited
img, etc. from (for the a:link img example)

border: 2px solid blue;

to

border-width: 2px;
border-style: solid;

and leave the color to ""inherit"" from color.",63,normal,P2
2595,"If the style.position attribute is changed to ""absolute"" after the element is
inserted in the document, the change appears to be ignored.  See
http://steveapp.home.mindspring.com/mozillabug/positionbug1.html for an example.
This was tested with the Gecko beta.",0,normal,P2
2596,"Sample 8 and the following crash on 2/22 NT debug build trying to release
StyleContextImpl's mRules.

<html>
<head>
<title>Example 8</title>
<style>
BUTTON {
  background-color: red;
}
</style>
</head>
<body>
<FORM>
<BUTTON  style=""padding: 3px;"">foo
</BUTTON>
</FORM>

</body>

</html>",3,major,P2
2597,"A mouse enter on the button in the example below (nsFormControlFrame.h must
#define NS_GFX_RENDER_FORM_ELEMENTS) causes a reflow, but the reflow may not be
correct, since nsAreaFrame::Reflow is raising an assertion. I'm reconstruction
this from memory, so if it doesn't crash please contact me.


<html>
<body>
<form>

<table BORDER=1 CELLSPACING=0 CELLPADDING=0 width=""100%"">
 <tr>
   <td width=""100%"">
    <fieldset><legend align=left>Font Face</legend>
      <button style=""width:100%; height:100%;"">
    </fieldset>
  </td>
 </tr>
</table>

</form>
</body>
</html>",203,normal,P3
2598,"After this large page loads, scrolling up and down causing your mouse to turn
into a blue paint brush. Blue trails are left behind where text was.

It looks like there is some serious layout problem here also, though it's hard
to tell.",16,normal,P2
2599,"hi terry-  Following components do not currently show a QA contact and I have
the answers here for ya.  Most will have eng as QA Contact due to the fact that
the component is a code level fix type, and the eng would need to verify.

On this page:
http://bugzilla.mozilla.org/describecomponents.cgi?product=NGLayout
Please fill in the following for QA Contact:

Threading - rpotts
ViewerApp - leger
XPCOM - scc
xpidl - vidur

Thanks!",0,normal,P2
2600,"Start viewer (no need to be in editor mode).  Click somewhere in the middle of
some text to set the selection point.  Hit right-arrow; notice that the cursor
moves right one character.  Hit right-arrow again, notice that nothing happens.
The second key event apparently isn't getting through.  Strangely, on the first
right-arrow, I see on stdout:
debug vk right
debug vk up
I don't know where the vk up is coming from, but that might be the problem.

Another instance of probably the same bug: hit scroll down; see the doc scroll.
Hit scroll down a second time; nothing happens.

I don't know whether this is XP or Linux only.",86,normal,P2
2601,"Do we need a configure check for glibc to cover
the memory problem discussed in
http://bugzilla.mozilla.org/show_bug.cgi?id=3142 ?",107,normal,P2
2602,"The DOM doesn't seem to track a radio button group's screen behavior.  To
reproduce the symptoms:

1. Have NGLayout display a form containing a two-button radio button group.

2. Press the first button (use the mouse: pressing buttons via the keyboard
(e.g. using the spacebar) doesn't work, but that's another bug report).  The
screen shows that the first button is checked.

3. Press the second button.  The screen shows that the first button is now
unchecked, and the second button is checked.

4. Now, using XPCOM, query the DOM for the state of the first button.
According to nsIDOMHTMLInputElement's GetChecked, the first button is still
checked.

This is the behavior using a Win32 optimized build of NGLayout, running under
NT 4.0.",0,major,P2
2603,"The DOM doesn't seem to track a select element's screen behavior.  To reproduce
the symptoms:

1. Have NGLayout display a form containing a two-option select element, i.e.

   <select name=""select1"">
       <option value=""std""> Standard </option>
       <option value=""overnite""> Overnight </option>
   </select>

2. Using the list box, select the second option.

3. Now, using XPCOM, query the DOM for the index of the selected item.
According to nsIDOMHTMLSelectElement's GetSelectedIndex, the first option is
selected, which is incorrect.

4. If you now simply open the list box (by pressing the down arrow) and then
immediately close it, nsIDOMHTMLSelectElement's GetSelectedIndex will return the
correct index.

Note that this is the behavior using a Win32 optimized build of NGLayout,
running under NT 4.0.",0,major,P2
2604,"1. Have NGLayout display a form containing a checkbox or radio button.

2. Tab to this field and press the spacebar.  You'll see a temporary change in
the widget, but not what is expected (the state being toggled).

This is the behavior using a Win32 optimized build of NGLayout, running under NT
4.0.",188,normal,P2
2605,"Changing the selected index of a select element via the DOM doesn't seem to be
reflected on the screen.  To reproduce the symptoms:

1. Have NGLayout display a form containing a two-option select element.  The
first option is displayed in the list box.

2. Now, via XPCOM (nsIDOMHTMLSelectElement's SetSelectedIndex), set the index of
the selected option to 1 (the index of the second option).  The first option is
still displayed in the list box, which is incorrect.

3. Note however that nsIDOMHTMLSelectElement's GetSelectedIndex now returns 1,
indicating that the DOM was correctly updated (but the screen wasn't).

This is the behavior using a Win32 optimized build of NGLayout, running under NT
4.0.",0,major,P2
2606,"Have NGLayout display a form containing a bunch of text input elements, where
not all fields can be viewed at once (some are off-screen, where user must
scroll to view them).  When tabbing to a field that is off-screen, NGLayout
doesn't automatically scroll the field into view.

This is the behavior using a Win32 optimized build of NGLayout, running under NT
4.0.",177,normal,P2
2607,"1. Have NGLayout display the following form:

   <form name=""formtest"">
      <input type=""text"" size=""6"" tabindex=""1"">
      <input type=""text"" size=""6"" tabindex=""2"">
   </form>

2. Tab into the second field.

3. Now press tab --- nothing happens!  But if you press tab again, the cursor
will be moved to the 1st field.

This is the behavior using a Win32 optimized build of NGLayout, running under NT
4.0.",47,normal,P2
2608,"1. Start apprunner.
2. Choose ""new window"" from the ""file"" menu.
3. Navigate to a page with an animated GIF.
4. Close the window. Stack trace below:

NTDLL! 77f76148()
nsViewManager::Composite(nsViewManager * const 0x0106e1e0) line 953
vm_timer_callback(nsITimer * 0x0103ddc0, void * 0x0106e1e0) line 66
TimerImpl::Fire(unsigned long 0x1380bf75) line 308 + 17 bytes
TimerImpl::ProcessTimeouts(unsigned long 0x1380bf75) line 187
FireTimeout(void * 0x00000000, unsigned int 0x00000113, unsigned int
0x0000224c, unsigned long 0x1380bf75) line 101 + 9 bytes
USER32! 77e7128c()
nsAppShellService::Run(nsAppShellService * const 0x00e0df50) line 152
main(int 0x00000001, char * * 0x00e01ae0) line 243 + 12 bytes
mainCRTStartup() line 338 + 17 bytes
KERNEL32! 77f1b304()",78,normal,P2
2609,"Right now, mBroadcastListeners is an nsVoidArray, which is overly expensive
given that very few nodes will actually have broadcast listeners. Make this a
pointer, and only construct the nsVoidArray when someone decides to add a
broadcast listener.",9,normal,P2
2610,"Version: 990223

Look at this little piece of html:

<html>
<body>
<table border=1 width=300>
<tr align=center>
<td>One</td>
<td>Two</td>
</tr>
</table>
<table border=1 width=300>
<tr align=right>
<td>One</td>
<td>Two</td>
</tr>
</table>
<table border=1>
<tr align=center>
<td>One</td>
<td>Two</td>
</tr>
<tr>
<td>----------Long One------------</td>
<td>----------Long Two------------</td>
</tr>
</table>
<table border=1 width=100%>
<tr align=center>
<td>One</td>
<td>Two</td>
</tr>
</table>
</body>
</html>

The first 3 tables are rendered bad - the cells are not aligned
(No matter, if the table width is absolute, or determined by the longest row).

The fourth table is probably covered by another, previous bug report.",28,normal,P2
2611,"The document contains the following:

  <STYLE TYPE=""text/css"">

[...]

--> <!--       --> <!-- -- >

  .xf { color: yellow; background: red none; }

  </STYLE>

...in the HEAD. The View Source displays the following:

  <STYLE TYPE=""text/css"">

[...]

--><!-- --><!-- -->.xf { color: yellow; background: red none; }

  </STYLE>

I believe this is a parser bug that is also causing bug #2781.

(Note that viewsource gets a lot else wrong in that STYLE block, I am
merely quoting the end part because that is what I noticed first.)",80,normal,P4
2612,"We found this crasher when doing an undo, although it also happens during a
intermittently during a delete operation.

1) Launch Viewer
2) Go to the tools menu, select Editor Mode (IMPORTANT!)
3) Select the word ""Basic"" on the first line of example zero
4) Press cntl-i it should apply italic to the selection
5) Press cntl-z (crash)

Looking at the stack trace, the crash always appears at the same place. The
frame value is garbage.

 nsBlockFrame.cpp:

 IsEmptyLine(nsIPresContext& aPresContext, nsLineBox* aLine)
 {
  PRInt32 i, n = aLine->ChildCount();
  nsIFrame* frame = aLine->mFirstChild;
  for (i = 0; i < n; i++) {
    nsIContent* content;
>>> nsresult rv = frame->GetContent(&content); // CRASH HERE
    if (NS_FAILED(rv) || (nsnull == content)) {
      // If it doesn't have any content then this can't be an empty line
      return PR_FALSE;
    }
    [SNIP!]",20,critical,P1
2613,Only the THEAD part of these tables displays! (Works fine in IE4.),0,major,P2
2614,"On this page, the three tables are not being resized by the CSS. (Works fine
in IE4.)

See also bug #3263.",62,major,P1
2615,"open the viewer and go into edit mode.
select some text (all within the same text block, so not from plain text into
bold, for example.)
ctrl-b to make it bold.  This creates a new b node, splits the text node into
multiple text nodes, and moves the selected text out of its parent into the new
b node.
select somewhere else
repeat a few times (not usually necessary, it often happens the first time) and
you'll get the assertion below.

stack:
nsLineLayout::ForgetWordFrame(nsIFrame * 0x0126bd90) line 191 + 45 bytes
TextFrame::Reflow(TextFrame * const 0x0126bd94, nsIPresContext & {...},
nsHTMLReflowMetrics & {...}, const nsHTMLReflowState & {...}, unsigned int & 0)
line 2167
nsInlineReflow::ReflowFrame(int 1, nsHTMLReflowMetrics & {...}, unsigned int &
0) line 450
nsInlineReflow::ReflowFrame(nsIFrame * 0x0126bd90, int 1, unsigned int & 0) line
274 + 20 bytes
nsBlockFrame::ReflowInlineFrame(nsBlockReflowState & {...}, nsLineBox *
0x01260a50, nsIFrame * 0x0126bd90, int * 0x0012c948) line 2525 + 31 bytes
nsBlockFrame::ReflowLine(nsBlockReflowState & {...}, nsLineBox * 0x01260a50, int
* 0x0012c9ac) line 1717 + 24 bytes
nsBlockFrame::ReflowDirtyLines(nsBlockReflowState & {...}) line 1472 + 20 bytes
nsBlockFrame::Reflow(nsBlockFrame * const 0x01260974, nsIPresContext & {...},
nsHTMLReflowMetrics & {...}, const nsHTMLReflowState & {...}, unsigned int & 1)
line 921 + 18 bytes
nsBlockReflowContext::ReflowBlock(nsIFrame * 0x01260970, const nsRect & {x=0 y=0
width=8880 height=1073741824}, int 1, nsMargin & {top=0 right=0 bottom=0
left=0}, unsigned int & 1) line 192 + 39 bytes
nsBlockFrame::ReflowBlockFrame(nsBlockReflowState & {...}, nsLineBox *
0x01263250, int * 0x0012d7e8) line 2335 + 45 bytes
nsBlockFrame::ReflowLine(nsBlockReflowState & {...}, nsLineBox * 0x01263250, int
* 0x0012d7e8) line 1683 + 20 bytes
nsBlockFrame::ReflowDirtyLines(nsBlockReflowState & {...}) line 1472 + 20 bytes
nsBlockFrame::Reflow(nsBlockFrame * const 0x01234514, nsIPresContext & {...},
nsHTMLReflowMetrics & {...}, const nsHTMLReflowState & {...}, unsigned int & 0)
line 921 + 18 bytes
nsBlockReflowContext::ReflowBlock(nsIFrame * 0x01234510, const nsRect & {x=0 y=0
width=9120 height=1073741824}, int 1, nsMargin & {top=0 right=0 bottom=0
left=0}, unsigned int & 0) line 192 + 39 bytes
nsBlockFrame::ReflowBlockFrame(nsBlockReflowState & {...}, nsLineBox *
0x01234d50, int * 0x0012e624) line 2335 + 45 bytes
nsBlockFrame::ReflowLine(nsBlockReflowState & {...}, nsLineBox * 0x01234d50, int
* 0x0012e624) line 1683 + 20 bytes
nsBlockFrame::ReflowDirtyLines(nsBlockReflowState & {...}) line 1472 + 20 bytes
nsBlockFrame::Reflow(nsBlockFrame * const 0x01233124, nsIPresContext & {...},
nsHTMLReflowMetrics & {...}, const nsHTMLReflowState & {...}, unsigned int & 0)
line 921 + 18 bytes
nsAreaFrame::Reflow(nsAreaFrame * const 0x01233124, nsIPresContext & {...},
nsHTMLReflowMetrics & {...}, const nsHTMLReflowState & {...}, unsigned int & 0)
line 503 + 25 bytes
nsContainerFrame::ReflowChild(nsIFrame * 0x01233120, nsIPresContext & {...},
nsHTMLReflowMetrics & {...}, const nsHTMLReflowState & {...}, unsigned int & 0)
line 364 + 28 bytes
RootFrame::Reflow(RootFrame * const 0x012335e4, nsIPresContext & {...},
nsHTMLReflowMetrics & {...}, const nsHTMLReflowState & {...}, unsigned int & 0)
line 256
nsContainerFrame::ReflowChild(nsIFrame * 0x012335e0, nsIPresContext & {...},
nsHTMLReflowMetrics & {...}, const nsHTMLReflowState & {...}, unsigned int & 0)
line 364 + 28 bytes
nsScrollFrame::Reflow(nsScrollFrame * const 0x01232a84, nsIPresContext & {...},
nsHTMLReflowMetrics & {...}, const nsHTMLReflowState & {...}, unsigned int & 0)
line 350
nsContainerFrame::ReflowChild(nsIFrame * 0x01232a80, nsIPresContext & {...},
nsHTMLReflowMetrics & {...}, const nsHTMLReflowState & {...}, unsigned int & 0)
line 364 + 28 bytes
ViewportFrame::Reflow(ViewportFrame * const 0x0125d744, nsIPresContext & {...},
nsHTMLReflowMetrics & {...}, const nsHTMLReflowState & {...}, unsigned int & 0)
line 438
PresShell::ResizeReflow(PresShell * const 0x0125b120, int 9120, int 4470) line
908
PresShell::ResizeReflow(PresShell * const 0x0125b124, nsIView * 0x01259c60, int
9120, int 4470) line 1892
nsViewManager::SetWindowDimensions(nsViewManager * const 0x01259ef0, int 9120,
int 4470) line 293",1,major,P1
2616,"The text in the ""Header"" and ""Footer"" sections of sample 12 are not drawing
initially. The ""Footer"" text can be coaxed into appearing if you reflow, and
the ""Header"" text will appear if you then invalidate the window.

See also bug #3101 which is a Mac scroll bar problem on this page.",55,major,P2
2617,"* TITLE/SUMMARY
ALT text for broken IMG tag drawn in 1x1 pixel rectangle.

* STEPS TO REPRODUCE
0) Launch Viewer
1) Open http://www.prometheus-music.com/gecko/imgaltfoo.html

* RESULT
 - What happened

A single gray pixel appears in lieu of the ALT text (equivalent to having set
width=1 and height=1). [URL is to a broken image.]

 - What was expected

ALT text to appear, encased in a box alongside a broken image bitmap, a la
Communicator 4.5.

* REGRESSION

 - Occurs On
        viewer (2.24.99 optimized build for Mac OS)
        viewer (2.24.99 optimized build for Win32 [NT 4, Service Pack 3])


 - Doesn't Occur On
        Communicator 4.51 (RTM build for Mac OS)
        viewer (2.23.99 optimized build for Linux; displayed as broken image,
covered in another bug.)

* HTML SNIPPET

<img src=""http://www.prometheus-music.com/images/rw_foo.jpg"" alt=""eggplant"">

* CONFIGURATIONS TESTED

- [Mac] Power Mac 8500/120 (233 Mhz 604e), 64 MB RAM (VM on; 1 MB of VM used),
1024x768 (Thousands of Colors), Mac OS 8.5.1

- [Win32] Vectra VL (233 Mhz P2), 96 MB RAM, 800x600 (True Color), NT 4.0 SP3.

- [Linux] Vectra VL (266 Mhz P2), 96 MB RAM.",98,normal,P3
2618,"Hi Terry!

Currently, there is a component called DOM for the NG Layout Product.  Please
created 2 new components DOM Level 0 and DOM Level 1 (info for new components
below).  When done, can you please bulk move all current DOM bugs to DOM Level 1
and delete/retire this original component.

Question:  vidur was wondering if the bulk move (97 bugs currently) can be done
without a spam in mail on these bugs during the move.  Is that possible?
Thanks - the Janster

DOM Level 0
Component Description:
This component consists of all functionality related to JavaScript manipulation
of window, document and navigator components that was available in Navigator 4.x
and before.
Assigned to: vidur     QA Contact:gerardok

DOM Level 1
Component Description:This component consists of all functionality related to
JavaScript or XPCOM-based access and manipulation of a document and its
components using the interfaces defined by the W3C (those detailed in
http://www.w3.org/TR/REC-DOM-Level-1).
Assigned to: vidur     QA Contact:gerardok",7,normal,P2
2619,"when you launch the win32 opt build of apprunner it just builds the title bar
(no title) then the outline of the window, then hangs with the following output
on stdOut:

DocLoaderFactory: Unable to create ContentViewer for content-type: text/xul

The debug build of the app doesn't exhibit these symptoms.",7,normal,P1
2620,"I've talked with Jan about this, there is no way to
file an apprunner bug right now w/o wading through
old and irrelevant Mozilla compontents.

Creating a bug so we can make this happen soon.",6,normal,P1
2621,"In this bug: http://bugzilla.mozilla.org/show_bug.cgi?id=346

Weird...check it out terry...others in those low numbers seem fine.",559,normal,P3
